,accuracy,roc_auc,precision,recall,f1
logistic_regression,0.853405725567621,0.9196020440464885,0.5278884462151394,0.8153846153846154,0.6408706166868199
lightgbm,0.9698914116485686,0.993558540225207,0.9342105263157895,0.8738461538461538,0.9030206677265501
